"evt","perceived_at","game_id","season","day","player_id","player_name"
"Rogue Umpire tried to incinerate Sunbeams hitter Nagomi Nava, but Nagomi Nava ate the flame! They became Magmatic!","2020-10-12 16:03:22.724405","34e90f96-6ade-4857-a006-4b8f306e2b2a",9,0,"89f74891-2e25-4b5a-bd99-c95ba3f36aa0","Nagomi Nava"
"Rogue Umpire tried to incinerate Garages hitter Malik Destiny, but Malik Destiny ate the flame! They became Magmatic!","2020-10-12 20:03:22.616664","0148a26c-6cab-4985-ba80-dc36e19648fe",9,4,"1301ee81-406e-43d9-b2bb-55ca6e0f7765","Malik Destiny"
"Rogue Umpire tried to incinerate Flowers hitter Margarito Nava, but Margarito Nava ate the flame! They became Magmatic!","2020-10-12 20:05:49.141624","d4f8f63b-7c85-4aa4-85cd-8eb37c07a280",9,4,"718dea1a-d9a8-4c2b-933a-f0667b5250e6","Margarito Nava"
"Rogue Umpire tried to incinerate Magic hitter Wyatt Glover, but Wyatt Glover ate the flame! They became Magmatic!","2020-10-12 20:07:19.60159","ca9d8e6c-95d2-4b3f-87ea-1c1f7dbe124b",9,4,"e16c3f28-eecd-4571-be1a-606bbac36b2b","Wyatt Glover"
"Rogue Umpire tried to incinerate Moist Talkers hitter Fish Summer, but Fish Summer ate the flame! They became Magmatic!","2020-10-13 02:18:35.240028","806a2f7c-5f1e-435b-96d2-77bf19175593",9,10,"d89da2d2-674c-4b85-8959-a4bd406f760a","Fish Summer"
"Rogue Umpire tried to incinerate Millennials hitter Andrew Solis, but Andrew Solis ate the flame! They became Magmatic!","2020-10-13 03:10:00.613179","32343328-53a3-4f40-8b62-45ca0193447b",9,11,"f38c5d80-093f-46eb-99d6-942aa45cd921","Andrew Solis"
"Rogue Umpire tried to incinerate Millennials hitter Andrew Solis, but Andrew Solis ate the flame! They became Magmatic!","2020-10-13 04:04:12.617493","b31050bf-f348-48b9-9313-9fb001b11040",9,12,"f38c5d80-093f-46eb-99d6-942aa45cd921","Andrew Solis"
"Rogue Umpire tried to incinerate Crabs hitter Nagomi Mcdaniel, but Nagomi Mcdaniel ate the flame! They became Magmatic!","2020-10-13 04:10:51.627388","d0650879-8b40-4fad-b476-9f68c3a60435",9,12,"c0732e36-3731-4f1a-abdc-daa9563b6506","Nagomi Mcdaniel"
"Rogue Umpire tried to incinerate Millennials hitter Andrew Solis, but Andrew Solis ate the flame! They became Magmatic!","2020-10-13 05:00:01.618185","8d1840d3-bd4c-467b-b9dd-bc06d9681843",9,13,"f38c5d80-093f-46eb-99d6-942aa45cd921","Andrew Solis"
"Rogue Umpire tried to incinerate Garages hitter Malik Destiny, but Malik Destiny ate the flame! They became Magmatic!","2020-10-13 08:19:54.613516","63a37610-7e66-4240-900c-b043b8eb1501",9,16,"1301ee81-406e-43d9-b2bb-55ca6e0f7765","Malik Destiny"
"Rogue Umpire tried to incinerate Crabs hitter Nagomi Mcdaniel, but Nagomi Mcdaniel ate the flame! They became Magmatic!","2020-10-13 08:25:22.121809","d55087e1-8463-4d12-bcfe-5bbf276062c0",9,16,"c0732e36-3731-4f1a-abdc-daa9563b6506","Nagomi Mcdaniel"
"Rogue Umpire tried to incinerate Pies hitter Jaxon Buckley, but Jaxon Buckley ate the flame! They became Magmatic!","2020-10-13 11:15:43.599774","49a54c95-56ba-469f-8ad4-0d99023c7b65",9,19,"405dfadf-d435-4307-82f6-8eba2287e87a","Jaxon Buckley"
"Rogue Umpire tried to incinerate Moist Talkers hitter Fish Summer, but Fish Summer ate the flame! They became Magmatic!","2020-10-13 17:12:47.107699","a3eb3560-6257-4903-910d-a6f601e9eb85",9,25,"d89da2d2-674c-4b85-8959-a4bd406f760a","Fish Summer"
"Rogue Umpire tried to incinerate Firefighters hitter Justice Spoon, but Justice Spoon ate the flame! They became Magmatic!","2020-10-13 20:07:14.608761","06983f03-7c5b-45ad-a141-a047f15bf0fa",9,27,"43d5da5f-c6a1-42f1-ab7f-50ea956b6cd5","Justice Spoon"
"Rogue Umpire tried to incinerate Garages hitter Malik Destiny, but Malik Destiny ate the flame! They became Magmatic!","2020-10-13 21:16:13.617512","ee19d3de-1544-4713-af4c-8d81c766cd8c",9,28,"1301ee81-406e-43d9-b2bb-55ca6e0f7765","Malik Destiny"
"Rogue Umpire tried to incinerate Steaks hitter August Sky, but August Sky ate the flame! They became Magmatic!","2020-10-13 22:00:01.617488","8e0a7426-4101-4307-a8b0-8dac618f7222",9,29,"ae81e172-801a-4236-929a-b990fc7190ce","August Sky"
"Rogue Umpire tried to incinerate Steaks hitter August Sky, but August Sky ate the flame! They became Magmatic!","2020-10-13 23:03:18.603127","40f8a668-3fad-47d5-aaee-da2f560760ea",9,30,"ae81e172-801a-4236-929a-b990fc7190ce","August Sky"
"Rogue Umpire tried to incinerate Sunbeams hitter Nagomi Nava, but Nagomi Nava ate the flame! They became Magmatic!","2020-10-14 00:18:04.608439","4bbdd616-a6cd-4934-9eee-3cfb252b9f8b",9,31,"89f74891-2e25-4b5a-bd99-c95ba3f36aa0","Nagomi Nava"
"Rogue Umpire tried to incinerate Sunbeams hitter Nagomi Nava, but Nagomi Nava ate the flame! They became Magmatic!","2020-10-14 01:22:51.606701","aac7632c-b785-4ff8-b27f-be28d68745cc",9,32,"89f74891-2e25-4b5a-bd99-c95ba3f36aa0","Nagomi Nava"
"Rogue Umpire tried to incinerate Lovers hitter Ortiz Lopez, but Ortiz Lopez ate the flame! They became Magmatic!","2020-10-14 05:21:28.510512","abfd4b11-1e81-47be-887e-f06eba004d35",9,36,"2b157c5c-9a6a-45a6-858f-bf4cf4cbc0bd","Ortiz Lopez"
"Rogue Umpire tried to incinerate Tigers hitter Paula Mason, but Paula Mason ate the flame! They became Magmatic!","2020-10-14 06:03:37.609396","784a92c4-c385-4969-beb2-85e77a237006",9,37,"c0177f76-67fc-4316-b650-894159dede45","Paula Mason"
"Rogue Umpire tried to incinerate Jazz Hands hitter Steph Weeks, but Steph Weeks ate the flame! They became Magmatic!","2020-10-14 06:14:47.608094","453a9d88-a03c-4526-b01f-fed4d5d5494e",9,37,"18f45a1b-76eb-4b59-a275-c64cf62afce0","Steph Weeks"
"Rogue Umpire tried to incinerate Garages hitter Malik Destiny, but Malik Destiny ate the flame! They became Magmatic!","2020-10-14 06:22:41.608934","f72110a5-0cd8-4fe9-afae-816dc1c8beaa",9,37,"1301ee81-406e-43d9-b2bb-55ca6e0f7765","Malik Destiny"
"Rogue Umpire tried to incinerate Crabs hitter Nagomi Mcdaniel, but Nagomi Mcdaniel ate the flame! They became Magmatic!","2020-10-14 07:03:34.608722","c2b59c50-a7df-4661-a27a-154eb918471a",9,38,"c0732e36-3731-4f1a-abdc-daa9563b6506","Nagomi Mcdaniel"
"Rogue Umpire tried to incinerate Dale hitter Caleb Novak, but Caleb Novak ate the flame! They became Magmatic!","2020-10-14 09:22:50.106036","f54c0254-75c2-4972-be49-badff826f186",9,40,"0eddd056-9d72-4804-bd60-53144b785d5c","Caleb Novak"
"Rogue Umpire tried to incinerate Pies hitter Jaxon Buckley, but Jaxon Buckley ate the flame! They became Magmatic!","2020-10-14 12:13:57.278942","01ae892d-6eeb-43e8-81e4-4032c4113e89",9,43,"405dfadf-d435-4307-82f6-8eba2287e87a","Jaxon Buckley"
"Rogue Umpire tried to incinerate Breath Mints hitter Rodriguez Internet, but Rodriguez Internet ate the flame! They became Magmatic!","2020-10-14 15:21:14.606518","9a5607ca-4fe1-43e7-a38f-055e9bb601b7",9,46,"4b6f0a4e-de18-44ad-b497-03b1f470c43c","Rodriguez Internet"
"Rogue Umpire tried to incinerate Jazz Hands hitter Steph Weeks, but Steph Weeks ate the flame! They became Magmatic!","2020-10-14 16:05:13.108921","a275d9e0-27fa-45a6-8ef8-5236694fd34d",9,47,"18f45a1b-76eb-4b59-a275-c64cf62afce0","Steph Weeks"
"Rogue Umpire tried to incinerate Pies hitter Jaxon Buckley, but Jaxon Buckley ate the flame! They became Magmatic!","2020-10-14 18:08:19.632182","e21c8990-ec4c-4a1d-8c6f-6a9fffa41441",9,49,"405dfadf-d435-4307-82f6-8eba2287e87a","Jaxon Buckley"
"Rogue Umpire tried to incinerate Dale hitter Caleb Novak, but Caleb Novak ate the flame! They became Magmatic!","2020-10-15 00:26:57.878126","05b5de56-f5ba-448c-bacb-7c4830a31d70",9,55,"0eddd056-9d72-4804-bd60-53144b785d5c","Caleb Novak"
"Rogue Umpire tried to incinerate Crabs hitter Nagomi Mcdaniel, but Nagomi Mcdaniel ate the flame! They became Magmatic!","2020-10-15 01:11:47.609656","3370120d-fd97-4f32-94fd-254146df4dc2",9,56,"c0732e36-3731-4f1a-abdc-daa9563b6506","Nagomi Mcdaniel"
"Rogue Umpire tried to incinerate Flowers hitter Margarito Nava, but Margarito Nava ate the flame! They became Magmatic!","2020-10-15 01:21:07.604736","5ce4cab6-d64e-406b-bf21-bfe1ef8a2996",9,56,"718dea1a-d9a8-4c2b-933a-f0667b5250e6","Margarito Nava"
"Rogue Umpire tried to incinerate Tacos hitter Basilio Fig, but Basilio Fig ate the flame! They became Magmatic!","2020-10-15 08:00:46.613369","0c38a479-7a1f-401d-b2ef-da8d56ed8862",9,63,"c755efce-d04d-4e00-b5c1-d801070d3808","Basilio Fig"
