"team_roster_id","team_id","position_id","valid_from","valid_until","player_id","position_type_id","tournament"
43242,"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e",3,"2021-07-22 07:22:50.279153","2021-07-23 04:13:23.783399","ff5a37d9-a6dd-49aa-b6fb-b935fd670820","1",-1
43415,"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e",14,"2021-07-23 03:23:00.950097","2021-07-23 04:13:23.783399","2da49de2-34e5-49d0-b752-af2a2ee061be","4",-1
43372,"878c1bf6-0d21-4659-bfee-916c8314d69c",0,"2021-07-23 00:22:31.093936","2021-07-23 04:24:36.060848","b3cf5842-83f8-4947-918e-e0c2b1dd03a6","0",-1
43461,"bfd38797-8404-4b38-8b82-341da28b1f83",3,"2021-07-23 10:04:59.647716","2021-07-27 06:25:44.467103","190f5b6a-c1d2-4ff3-94bb-756919bcab2b","0",-1
43409,"46358869-dce9-4a01-bfba-ac24fc56f57e",17,"2021-07-23 02:30:42.299098","2021-07-23 04:32:32.236902","c0998a08-de15-4187-b903-2e096ffa08e5","4",-1
43450,"8d87c468-699a-47a8-b40d-cfb73a5660ad",6,"2021-07-23 07:25:05.392982","2021-07-27 12:19:15.249806","a3ea0e93-c9f5-4f85-8acd-c3c5ce8601fa","0",-1
43416,"b72f3061-f573-40d7-832a-5ad475bd7909",2,"2021-07-23 03:23:31.031782","2021-07-23 06:29:01.322077","db33a54c-3934-478f-bad4-fc313ac2580e","0",-1
43417,"b72f3061-f573-40d7-832a-5ad475bd7909",16,"2021-07-23 03:23:31.031782","2021-07-23 06:29:01.322077","a6ec8d00-a78f-4f6b-b51a-db9f5507cf0a","4",-1
38883,"b72f3061-f573-40d7-832a-5ad475bd7909",2,"2021-04-18 18:01:13.702149","2021-07-23 07:16:48.523041","f2c477fb-28ea-4fcb-943a-9fab22df3da0","1",-1
41128,"b72f3061-f573-40d7-832a-5ad475bd7909",17,"2021-06-25 21:01:06.908654","2021-07-23 07:16:48.523041","2f1c87ef-c5c4-4bd8-9786-cc39473fa9df","4",-1
41437,"7966eb04-efcc-499b-8f03-d13916330531",3,"2021-06-28 22:33:58.304184","2021-07-23 07:24:50.396779","aa6c2662-75f8-4506-aa06-9a0993313216","0",-1
43377,"7966eb04-efcc-499b-8f03-d13916330531",16,"2021-07-23 00:26:06.667143","2021-07-23 07:24:50.396779","ac69dba3-6225-4afd-ab4b-23fc78f730fb","4",-1
